@relation covid_cases

@attribute id numeric
@attribute Date date 'yyyy-MM-dd'
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute phu_num numeric
@attribute active_cases numeric
@attribute resolved_cases numeric
@attribute deaths numeric

@data
79,2020-04-03,'HALTON REGION',2236,51,34,3
80,2020-04-03,'HASTINGS & PRINCE EDWARD COUNTIES',2238,11,4,1
81,2020-04-03,'HURON PERTH',5183,11,4,1
82,2020-04-03,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,33,15,0
83,2020-04-03,'LAMBTON COUNTY',2242,44,11,5
84,2020-04-03,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,29,7,2
85,2020-04-03,'MIDDLESEX-LONDON',2244,71,16,3
86,2020-04-03,'NIAGARA REGION',2246,52,29,4
87,2020-04-03,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
88,2020-04-03,'NORTHWESTERN',2249,1,3,0
89,2020-04-03,'OXFORD ELGIN-ST.THOMAS',4913,9,4,2
90,2020-04-03,'PEEL REGION',2253,319,83,0
91,2020-04-03,'PETERBOROUGH COUNTY-CITY',2255,25,15,0
92,2020-04-03,'PORCUPINE',2256,18,6,0
93,2020-04-03,'RENFREW COUNTY AND DISTRICT',2257,4,2,1
94,2020-04-03,'SIMCOE MUSKOKA DISTRICT',2260,42,23,4
95,2020-04-03,'SUDBURY AND DISTRICT',2261,13,9,0
96,2020-04-03,'THUNDER BAY DISTRICT',2262,8,0,0
97,2020-04-03,'TIMISKAMING',2263,1,2,0
98,2020-04-03,'TORONTO',3895,479,292,12
99,2020-04-03,'WATERLOO REGION',2265,71,52,2
100,2020-04-03,'WELLINGTON-DUFFERIN-GUELPH',2266,45,11,1
101,2020-04-03,'WINDSOR-ESSEX COUNTY',2268,84,16,1
102,2020-04-03,'YORK REGION',2270,258,100,7
103,2020-04-04,'ALGOMA DISTRICT',2226,6,1,0
104,2020-04-04,'BRANT COUNTY',2227,24,21,1
105,2020-04-04,'CHATHAM-KENT',2240,6,4,0
106,2020-04-04,'CITY OF HAMILTON',2237,64,71,2
107,2020-04-04,'CITY OF OTTAWA',2251,179,128,2
108,2020-04-04,'DURHAM REGION',2230,117,65,12
109,2020-04-04,'EASTERN ONTARIO',2258,17,17,0
110,2020-04-04,'GREY BRUCE',2233,6,9,0
111,2020-04-04,'HALDIMAND-NORFOLK',2234,45,5,4
112,2020-04-04,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,37,30,3
113,2020-04-04,'HALTON REGION',2236,69,42,3
114,2020-04-04,'HASTINGS & PRINCE EDWARD COUNTIES',2238,11,5,1
115,2020-04-04,'HURON PERTH',5183,11,4,1
116,2020-04-04,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,28,20,0
117,2020-04-04,'LAMBTON COUNTY',2242,43,13,7
118,2020-04-04,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,36,9,2
119,2020-04-04,'MIDDLESEX-LONDON',2244,88,19,3
120,2020-04-04,'NIAGARA REGION',2246,66,38,6
121,2020-04-04,'NORTH BAY PARRY SOUND DISTRICT',2247,1,3,0
122,2020-04-04,'NORTHWESTERN',2249,1,3,0
123,2020-04-04,'OXFORD ELGIN-ST.THOMAS',4913,9,5,2
124,2020-04-04,'PEEL REGION',2253,344,96,3
125,2020-04-04,'PETERBOROUGH COUNTY-CITY',2255,25,16,0
126,2020-04-04,'PORCUPINE',2256,19,9,0
127,2020-04-04,'RENFREW COUNTY AND DISTRICT',2257,4,2,1
128,2020-04-04,'SIMCOE MUSKOKA DISTRICT',2260,42,25,4
129,2020-04-04,'SUDBURY AND DISTRICT',2261,12,12,1
130,2020-04-04,'THUNDER BAY DISTRICT',2262,9,2,0
131,2020-04-04,'TIMISKAMING',2263,1,2,0
132,2020-04-04,'TORONTO',3895,491,335,19
133,2020-04-04,'WATERLOO REGION',2265,80,58,2
134,2020-04-04,'WELLINGTON-DUFFERIN-GUELPH',2266,53,16,1
135,2020-04-04,'WINDSOR-ESSEX COUNTY',2268,100,18,2
136,2020-04-04,'YORK REGION',2270,273,116,12
137,2020-04-05,'ALGOMA DISTRICT',2226,5,3,0
138,2020-04-05,'BRANT COUNTY',2227,24,26,1
139,2020-04-05,'CHATHAM-KENT',2240,5,6,1
140,2020-04-05,'CITY OF HAMILTON',2237,64,81,3
141,2020-04-05,'CITY OF OTTAWA',2251,184,147,2
142,2020-04-05,'DURHAM REGION',2230,131,78,14
143,2020-04-05,'EASTERN ONTARIO',2258,17,20,0
144,2020-04-05,'GREY BRUCE',2233,9,10,0
145,2020-04-05,'HALDIMAND-NORFOLK',2234,51,9,5
146,2020-04-05,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,36,50,11
147,2020-04-05,'HALTON REGION',2236,82,53,3
148,2020-04-05,'HASTINGS & PRINCE EDWARD COUNTIES',2238,13,6,1
149,2020-04-05,'HURON PERTH',5183,12,4,1
