@relation vaccine_by_age_group

@attribute Date date 'yyyy-MM-dd'
@attribute phu_ID numeric
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute age_group {'05-11yrs','12-17yrs','18-29yrs','30-39yrs','40-49yrs','50-59yrs','60-69yrs','70-79yrs','80+','Adults_18plus','Ontario_12plus','Ontario_5plus','Undisclosed_or_missing'}
@attribute one_dose_cumulative numeric
@attribute second_dose_cumulative numeric
@attribute fully_vaccinated_cumulative numeric
@attribute total_population numeric
@attribute percent_one_dose numeric
@attribute percent_fully_vac numeric

@data
2021-07-26,2240,'CHATHAM-KENT','Adults_18plus',66278,57026,0,85975,0.7709,0.6633
2021-07-26,2237,'CITY OF HAMILTON','Adults_18plus',372563,312682,0,482542,0.7721,0.648
2021-07-26,2251,'CITY OF OTTAWA','Adults_18plus',719816,610525,0,856529,0.8404,0.7128
2021-07-26,2230,'DURHAM REGION','Adults_18plus',467095,394532,0,566267,0.8249,0.6967
2021-07-26,2258,'EASTERN ONTARIO','Adults_18plus',136602,109521,0,169549,0.8057,0.646
2021-07-26,2233,'GREY BRUCE','Adults_18plus',112334,99926,0,138881,0.8089,0.7195
2021-07-26,2234,'HALDIMAND-NORFOLK','Adults_18plus',70005,60662,0,93135,0.7517,0.6513
2021-07-26,2235,'HALIBURTON, KAWARTHA, PINE RIDGE','Adults_18plus',132069,111228,0,160405,0.8233,0.6934
2021-07-26,2236,'HALTON REGION','Adults_18plus',406797,326939,0,484194,0.8402,0.6752
2021-07-26,2238,'HASTINGS & PRINCE EDWARD COUNTIES','Adults_18plus',109078,87842,0,139653,0.7811,0.629
2021-07-26,5183,'HURON PERTH','Adults_18plus',93858,77514,0,111054,0.8452,0.698
2021-07-26,2241,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON','Adults_18plus',147152,126224,0,177763,0.8278,0.7101
2021-07-26,2242,'LAMBTON COUNTY','Adults_18plus',81910,69074,0,107228,0.7639,0.6442
2021-07-26,2243,'LEEDS, GRENVILLE AND LANARK DISTRICT','Adults_18plus',128833,109601,0,143884,0.8954,0.7617
2021-07-26,2244,'MIDDLESEX-LONDON','Adults_18plus',340191,272917,0,412459,0.8248,0.6617
2021-07-26,2246,'NIAGARA REGION','Adults_18plus',318677,266701,0,391329,0.8143,0.6815
2021-07-26,2247,'NORTH BAY PARRY SOUND DISTRICT','Adults_18plus',84479,72705,0,108600,0.7779,0.6695
2021-07-26,2249,'NORTHWESTERN','Adults_18plus',54151,47044,0,67354,0.804,0.6985
2021-07-26,2253,'PEEL REGION','Adults_18plus',1035597,844440,0,1273929,0.8129,0.6629
2021-07-26,2255,'PETERBOROUGH COUNTY-CITY','Adults_18plus',99575,85343,0,122992,0.8096,0.6939
2021-07-26,2256,'PORCUPINE','Adults_18plus',52092,44601,0,66273,0.786,0.673
2021-07-26,2257,'RENFREW COUNTY AND DISTRICT','Adults_18plus',68281,60278,0,88601,0.7707,0.6803
2021-07-26,2260,'SIMCOE MUSKOKA DISTRICT','Adults_18plus',391030,311715,0,490888,0.7966,0.635
2021-07-26,4913,'SOUTHWESTERN','Adults_18plus',134243,105551,0,166876,0.8044,0.6325
2021-07-26,2261,'SUDBURY AND DISTRICT','Adults_18plus',129021,109844,0,163770,0.7878,0.6707
2021-07-26,2262,'THUNDER BAY DISTRICT','Adults_18plus',106120,90381,0,122742,0.8646,0.7363
2021-07-26,2263,'TIMISKAMING','Adults_18plus',21200,18377,0,26908,0.7879,0.683
2021-07-26,3895,'TORONTO','Adults_18plus',2050839,1776833,0,2607776,0.7864,0.6814
2021-07-26,9999,'UNKNOWN','Adults_18plus',4030,761,0,0,0,0
2021-07-26,2265,'WATERLOO REGION','Adults_18plus',389525,316884,0,466255,0.8354,0.6796
2021-07-26,2266,'WELLINGTON-DUFFERIN-GUELPH','Adults_18plus',205302,173481,0,248856,0.825,0.6971
2021-07-26,2268,'WINDSOR-ESSEX COUNTY','Adults_18plus',270982,234789,0,343007,0.79,0.6845
2021-07-26,2270,'YORK REGION','Adults_18plus',794778,696800,0,979192,0.8117,0.7116
2021-07-26,2226,'ALGOMA DISTRICT','Ontario_12plus',81765,67234,0,101417,0.8062,0.6629
2021-07-26,2227,'BRANT COUNTY','Ontario_12plus',107314,88492,0,134281,0.7992,0.659
2021-07-26,2240,'CHATHAM-KENT','Ontario_12plus',69507,58949,0,93208,0.7457,0.6324
2021-07-26,2237,'CITY OF HAMILTON','Ontario_12plus',394273,326737,0,519560,0.7589,0.6289
2021-07-26,2251,'CITY OF OTTAWA','Ontario_12plus',770550,641935,0,922751,0.8351,0.6957
2021-07-26,2230,'DURHAM REGION','Ontario_12plus',501120,411485,0,617305,0.8118,0.6666
2021-07-26,2258,'EASTERN ONTARIO','Ontario_12plus',144410,113078,0,182972,0.7892,0.618
2021-07-26,2233,'GREY BRUCE','Ontario_12plus',117867,103553,0,149060,0.7907,0.6947
2021-07-26,2234,'HALDIMAND-NORFOLK','Ontario_12plus',73130,62373,0,100272,0.7293,0.622
2021-07-26,2235,'HALIBURTON, KAWARTHA, PINE RIDGE','Ontario_12plus',137890,114383,0,170498,0.8087,0.6709
2021-07-26,2236,'HALTON REGION','Ontario_12plus',443354,353812,0,533442,0.8311,0.6633
2021-07-26,2238,'HASTINGS & PRINCE EDWARD COUNTIES','Ontario_12plus',114781,91510,0,149606,0.7672,0.6117
2021-07-26,5183,'HURON PERTH','Ontario_12plus',99123,79218,0,120844,0.8203,0.6555
2021-07-26,2241,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON','Ontario_12plus',155789,131365,0,189566,0.8218,0.693
2021-07-26,2242,'LAMBTON COUNTY','Ontario_12plus',86365,71534,0,115508,0.7477,0.6193
2021-07-26,2243,'LEEDS, GRENVILLE AND LANARK DISTRICT','Ontario_12plus',135774,113407,0,154361,0.8796,0.7347
2021-07-26,2244,'MIDDLESEX-LONDON','Ontario_12plus',362474,284023,0,444194,0.816,0.6394
2021-07-26,2246,'NIAGARA REGION','Ontario_12plus',335350,277202,0,419682,0.7991,0.6605
2021-07-26,2247,'NORTH BAY PARRY SOUND DISTRICT','Ontario_12plus',88626,75342,0,115844,0.765,0.6504
2021-07-26,2249,'NORTHWESTERN','Ontario_12plus',58283,49241,0,74025,0.7873,0.6652
2021-07-26,2253,'PEEL REGION','Ontario_12plus',1109516,894248,0,1392903,0.7965,0.642
2021-07-26,2255,'PETERBOROUGH COUNTY-CITY','Ontario_12plus',104500,88222,0,131033,0.7975,0.6733
2021-07-26,2256,'PORCUPINE','Ontario_12plus',55248,46667,0,72027,0.767,0.6479
2021-07-26,2257,'RENFREW COUNTY AND DISTRICT','Ontario_12plus',72038,62831,0,94931,0.7588,0.6619
2021-07-26,2260,'SIMCOE MUSKOKA DISTRICT','Ontario_12plus',413747,324274,0,528502,0.7829,0.6136
2021-07-26,4913,'SOUTHWESTERN','Ontario_12plus',142533,108749,0,182213,0.7822,0.5968
2021-07-26,2261,'SUDBURY AND DISTRICT','Ontario_12plus',136152,114055,0,175659,0.7751,0.6493
2021-07-26,2262,'THUNDER BAY DISTRICT','Ontario_12plus',111942,93941,0,131784,0.8494,0.7128
2021-07-26,2263,'TIMISKAMING','Ontario_12plus',22239,18974,0,28805,0.7721,0.6587
2021-07-26,3895,'TORONTO','Ontario_12plus',2158828,1855822,0,2770322,0.7793,0.6699
2021-07-26,9999,'UNKNOWN','Ontario_12plus',4237,781,0,0,0,0
2021-07-26,2265,'WATERLOO REGION','Ontario_12plus',416591,333057,0,506304,0.8228,0.6578
2021-07-26,2266,'WELLINGTON-DUFFERIN-GUELPH','Ontario_12plus',219088,181765,0,270024,0.8114,0.6731
2021-07-26,2268,'WINDSOR-ESSEX COUNTY','Ontario_12plus',287667,245905,0,372777,0.7717,0.6597
2021-07-26,2270,'YORK REGION','Ontario_12plus',856207,738787,0,1069165,0.8008,0.691
2021-07-26,2226,'ALGOMA DISTRICT','Undisclosed_or_missing',5,0,0,0,0,0
2021-07-26,2227,'BRANT COUNTY','Undisclosed_or_missing',9,4,0,0,0,0
2021-07-26,2240,'CHATHAM-KENT','Undisclosed_or_missing',10,5,0,0,0,0
2021-07-26,2237,'CITY OF HAMILTON','Undisclosed_or_missing',81,37,0,0,0,0
2021-07-26,2251,'CITY OF OTTAWA','Undisclosed_or_missing',2701,2417,0,0,0,0
2021-07-26,2230,'DURHAM REGION','Undisclosed_or_missing',113,64,0,0,0,0
2021-07-26,2258,'EASTERN ONTARIO','Undisclosed_or_missing',17,6,0,0,0,0
2021-07-26,2233,'GREY BRUCE','Undisclosed_or_missing',70,50,0,0,0,0
2021-07-26,2234,'HALDIMAND-NORFOLK','Undisclosed_or_missing',8,2,0,0,0,0
2021-07-26,2235,'HALIBURTON, KAWARTHA, PINE RIDGE','Undisclosed_or_missing',22,8,0,0,0,0
2021-07-26,2236,'HALTON REGION','Undisclosed_or_missing',15,4,0,0,0,0
2021-07-26,2238,'HASTINGS & PRINCE EDWARD COUNTIES','Undisclosed_or_missing',35,5,0,0,0,0
2021-07-26,5183,'HURON PERTH','Undisclosed_or_missing',4,0,0,0,0,0
2021-07-26,2241,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON','Undisclosed_or_missing',64,7,0,0,0,0
2021-07-26,2242,'LAMBTON COUNTY','Undisclosed_or_missing',11,7,0,0,0,0
2021-07-26,2243,'LEEDS, GRENVILLE AND LANARK DISTRICT','Undisclosed_or_missing',19,13,0,0,0,0
2021-07-26,2244,'MIDDLESEX-LONDON','Undisclosed_or_missing',51,18,0,0,0,0
2021-07-26,2246,'NIAGARA REGION','Undisclosed_or_missing',29,5,0,0,0,0
2021-07-26,2247,'NORTH BAY PARRY SOUND DISTRICT','Undisclosed_or_missing',10,1,0,0,0,0
2021-07-26,2249,'NORTHWESTERN','Undisclosed_or_missing',16,5,0,0,0,0
2021-07-26,2253,'PEEL REGION','Undisclosed_or_missing',153,48,0,0,0,0
2021-07-26,2255,'PETERBOROUGH COUNTY-CITY','Undisclosed_or_missing',24,11,0,0,0,0
2021-07-26,2256,'PORCUPINE','Undisclosed_or_missing',11,4,0,0,0,0
2021-07-26,2257,'RENFREW COUNTY AND DISTRICT','Undisclosed_or_missing',6,1,0,0,0,0
2021-07-26,2260,'SIMCOE MUSKOKA DISTRICT','Undisclosed_or_missing',16,2,0,0,0,0
2021-07-26,4913,'SOUTHWESTERN','Undisclosed_or_missing',4,0,0,0,0,0
2021-07-26,2261,'SUDBURY AND DISTRICT','Undisclosed_or_missing',27,8,0,0,0,0
2021-07-26,2262,'THUNDER BAY DISTRICT','Undisclosed_or_missing',41,16,0,0,0,0
2021-07-26,2263,'TIMISKAMING','Undisclosed_or_missing',3,2,0,0,0,0
2021-07-26,3895,'TORONTO','Undisclosed_or_missing',443,184,0,0,0,0
2021-07-26,9999,'UNKNOWN','Undisclosed_or_missing',15,2,0,0,0,0
2021-07-26,2265,'WATERLOO REGION','Undisclosed_or_missing',34,3,0,0,0,0
2021-07-26,2266,'WELLINGTON-DUFFERIN-GUELPH','Undisclosed_or_missing',19,6,0,0,0,0
2021-07-26,2268,'WINDSOR-ESSEX COUNTY','Undisclosed_or_missing',51,21,0,0,0,0
2021-07-26,2270,'YORK REGION','Undisclosed_or_missing',46,15,0,0,0,0
2021-08-30,2226,'ALGOMA DISTRICT','12-17yrs',4543,3706,0,6504,0.6985,0.5698
2021-08-31,2226,'ALGOMA DISTRICT','12-17yrs',4552,3713,0,6504,0.6999,0.5709
